encoder,depth,n_probes,budgeted,recall,recall_stderr,scan_mean,scan_p50,scan_p95,scan_max,n_ranges
morton-pca2-b30,8,32,0,0.0105,0.0026,0.00072,0.00063,0.00162,0.00313,9.21
morton-pca2-b30,8,64,0,0.017,0.0034,0.00145,0.00125,0.00313,0.005,13.74
morton-pca2-b30,8,40,1,0.0415,0.0056,0.00423,0.005,0.005,0.005,26.3
morton-pca2-b30,8,80,1,0.052,0.0067,0.00551,0.00525,0.01,0.01,32.95
morton-pca2-b30,8,160,1,0.056,0.0073,0.00575,0.00525,0.01176,0.01688,33.89
morton-pca2-b30,8,400,1,0.056,0.0073,0.00575,0.00525,0.01176,0.01688,33.89
morton-pca2-b30,10,1,0,0.0005,0.0005,0.0,0.0,0.0,0.00025,1.0
morton-pca2-b30,10,2,0,0.0005,0.0005,0.0,0.0,0.0,0.00025,1.7
morton-pca2-b30,10,4,0,0.0005,0.0005,1e-05,0.0,0.0,0.00025,2.69
morton-pca2-b30,10,8,0,0.0005,0.0005,1e-05,0.0,0.00013,0.00025,4.11
morton-pca2-b30,10,16,0,0.0005,0.0005,2e-05,0.0,0.00013,0.00025,6.46
morton-pca2-b30,10,32,0,0.0005,0.0005,5e-05,0.0,0.00025,0.00063,9.18
morton-pca2-b30,10,64,0,0.001,0.0007,9e-05,0.0,0.00026,0.00063,13.78
morton-pca2-b30,10,40,1,0.0055,0.0018,0.00035,0.00025,0.00075,0.00162,2.71
morton-pca2-b30,10,80,1,0.0055,0.0018,0.00035,0.00025,0.00075,0.00162,2.71
morton-pca2-b30,10,160,1,0.0055,0.0018,0.00035,0.00025,0.00075,0.00162,2.71
morton-pca2-b30,10,400,1,0.0055,0.0018,0.00035,0.00025,0.00075,0.00162,2.71
hilbert-pca3-b20,2,1,0,0.2335,0.0151,0.02366,0.02212,0.04637,0.04813,1.0
hilbert-pca3-b20,2,2,0,0.372,0.0192,0.04549,0.04719,0.07825,0.07825,1.61
hilbert-pca3-b20,2,4,0,0.5445,0.0208,0.0824,0.0895,0.11825,0.13225,2.36
hilbert-pca3-b20,2,8,0,0.697,0.0193,0.1433,0.14062,0.20075,0.20663,3.19
hilbert-pca3-b20,2,16,0,0.8485,0.0154,0.26095,0.25638,0.32007,0.34637,4.66
hilbert-pca3-b20,2,32,0,0.9595,0.0068,0.48468,0.48488,0.55814,0.58288,6.99
hilbert-pca3-b20,2,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-pca3-b20,2,40,1,0.052,0.006,0.005,0.005,0.005,0.005,1.01
hilbert-pca3-b20,2,80,1,0.102,0.0086,0.01,0.01,0.01,0.01,1.08
hilbert-pca3-b20,2,160,1,0.197,0.0133,0.02,0.02,0.02,0.02,1.27
hilbert-pca3-b20,2,400,1,0.39,0.0171,0.05,0.05,0.05,0.05,2.02
hilbert-pca3-b20,4,1,0,0.0115,0.0029,0.00057,0.0005,0.00151,0.0035,1.0
hilbert-pca3-b20,4,2,0,0.0265,0.0046,0.0011,0.00088,0.00263,0.00637,1.63
hilbert-pca3-b20,4,4,0,0.0455,0.0059,0.00222,0.00187,0.00465,0.01038,2.78
hilbert-pca3-b20,4,8,0,0.0765,0.0083,0.00422,0.00363,0.00952,0.01487,4.17
hilbert-pca3-b20,4,16,0,0.125,0.0113,0.00783,0.00731,0.01663,0.021,6.33
hilbert-pca3-b20,4,32,0,0.205,0.0152,0.0148,0.01388,0.02875,0.0335,10.71
hilbert-pca3-b20,4,64,0,0.301,0.017,0.02668,0.0265,0.04675,0.05362,16.58
hilbert-pca3-b20,4,40,1,0.081,0.0069,0.005,0.005,0.005,0.005,6.71
hilbert-pca3-b20,4,80,1,0.149,0.0106,0.01,0.01,0.01,0.01,11.03
hilbert-pca3-b20,4,160,1,0.249,0.0146,0.02,0.02,0.02,0.02,18.46
hilbert-pca3-b20,4,400,1,0.4445,0.0186,0.04857,0.05,0.05,0.05,34.66
morton-pca3-b20,2,1,0,0.2335,0.0151,0.02366,0.02212,0.04637,0.04813,1.0
morton-pca3-b20,2,2,0,0.372,0.0192,0.04549,0.04719,0.07825,0.07825,1.77
morton-pca3-b20,2,4,0,0.5445,0.0208,0.0824,0.0895,0.11825,0.13225,2.98
morton-pca3-b20,2,8,0,0.697,0.0193,0.1433,0.14062,0.20075,0.20663,3.7
morton-pca3-b20,2,16,0,0.8485,0.0154,0.26095,0.25638,0.32007,0.34637,6.19
morton-pca3-b20,2,32,0,0.9595,0.0068,0.48468,0.48488,0.55814,0.58288,10.46
morton-pca3-b20,2,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
morton-pca3-b20,2,40,1,0.059,0.006,0.005,0.005,0.005,0.005,1.04
morton-pca3-b20,2,80,1,0.118,0.0095,0.01,0.01,0.01,0.01,1.15
morton-pca3-b20,2,160,1,0.2055,0.0132,0.02,0.02,0.02,0.02,1.41
morton-pca3-b20,2,400,1,0.391,0.0171,0.05,0.05,0.05,0.05,2.4
morton-pca3-b20,4,1,0,0.0115,0.0029,0.00057,0.0005,0.00151,0.0035,1.0
morton-pca3-b20,4,2,0,0.0265,0.0046,0.0011,0.00088,0.00263,0.00637,1.81
